AAPL,MSI,SBUX
66.3905078979652,60.9169177393,27.632451847135002
62.3441811169214,61.61792715424999,27.590934106434997
63.477075372449406,62.43969990337,28.94505573841
63.5670874769169,63.272847782869995,28.63751116868
59.52612189452031,62.92271110315001,28.97901104902
60.8043794900026,58.763623165270005,30.163458612069995
64.18623658920329,57.075076463509994,31.483038597309996
63.46292072607899,57.85990893502999,31.906760847599998
62.663358625792995,56.677862544949996,32.17768010514
58.9126668097247,56.97015824572,32.953819782605
60.5190837028852,58.26731130407,34.12400110945999
62.496288843828395,57.198085597189994,34.806777812055
66.65933282497372,56.418322430900005,36.527629495425
71.2040392334285,56.70285330569,35.46962699343499
69.94289932436442,56.62194023132001,36.23262274996999
67.40862114360661,58.80703164815,38.024161436185004
69.2016737792879,60.10428904483,38.44453600956999
72.35616434865221,61.00228681600999,39.31758928149
74.75160205594071,62.721320920050005,40.119023690575006
74.363723119259,64.15675516699,40.45897869502001
77.3739239210208,65.71465863321001,40.41835317298
79.81726648926329,65.59307934192,39.006056346475006
79.81274410700232,66.70094331172,38.94485065082501
77.88604584422541,65.93860446811,38.138333780284995
75.53664645888371,64.31422295878,36.129485606094995
75.34817588118732,64.5816951474,36.7186931626375
75.2631427451376,65.65730245494001,35.98496239754999
75.77161526792749,65.90888735019,37.164437810844994
76.7253949044769,65.68660487234,37.45531582313001
75.14045072706219,63.96965859866999,35.34857611859001
